72184-1-entrytone|ᎠᏧᏣ|Achű:ja.|Boy
72388-1-vthirdprestone|ᎠᎱᏗᏍᎪᎢ|À:hu:dî:sgó:ɂi.|He is usually putting a long object in liquid (He usually...)
72389-1-entrytone|ᎠᎱᏣᏬᎳᏛᏗ|Ahù:jawǒ:ládv̋:di.|Stove pipe, lamp chimney
72389-1-nounadjpluraltone|ᏗᎱᏣᏬᎳᏛᏗ|Di:hù:jawǒ:ládv̋:di.|Stove pipe, lamp chimney (plural)
72390-1-entrytone|ᎠᎱᏣᏬᎳᏛᎢ|À:hú:jawǒ:ládv̋:i.|Chimney
72390-1-nounadjpluraltone|ᏓᎱᏣᏬᎳᏛᎢ|Dà:hú:jawǒ:ládv̋:ɂi.|Chimney (plural)
72391-1-entrytone|ᎠᎱᎵ|Ahu:li.|Drum
72391-1-nounadjpluraltone|ᏗᎱᎵ|Di:hu:li.|Drum (plural)
72392-1-entrytone|ᎠᎱᎸᏂᎭ|À:hu:lv́:niha.|He is hitting him on the mouth
72392-1-vfirstprestone|ᏥᎤᎸᏂᎭ|Jiɂu:lv́:niha.|I am hitting him on the mouth (I am...)
72392-1-vsecondimpertone|ᎯᎤᎸᏂᎦ|Hiɂu:lv:nì:ga.|Let you be hitting him on the mouth (Let you...)
72392-1-vthirdinftone|ᎤᎱᎸᏂᏍᏗ|U:hu:lv̌:nî:sdi.|For him to be hitting him on the mouth (For him to...)
72392-1-vthirdpasttone|ᎤᎱᎸᏂᎸᎢ|Ù:hu:lv̌:nî:lv̌:ɂi.|He did hitt him on the mouth (He did...a while ago)
72392-1-vthirdprestone|ᎠᎱᎸᏂᎰᎢ|À:hu:lv́:nihó:ɂi.|He is usually hitting him on the mouth (He usually...)
72393-1-entrytone|ᎠᎲᎠ|À:hv́:ɂa.|He is moving it from one place to another
72393-1-vfirstprestone|ᏥᎥᎠ|Jiɂv́:ɂa.|I am moving it from one place to another (I am...)
72393-1-vsecondimpertone|ᎯᎲᎾ|Hihv̌:na.|Let you be moving it from one place to another (Let you...)
72393-1-vthirdinftone|ᎤᎲᏍᏗ|U:hv̀:sdi.|For him to be moving it from one place to another (For him to...)
72393-1-vthirdpasttone|ᎤᎲᏒᎢ|Ù:hv́:sv̌:ɂi.|He did mov it from one place to another (He did...a while ago)
72393-1-vthirdprestone|ᎠᎲᏍᎪᎢ|À:hv́:sgó:ɂi.|He is usually moving it from one place to another (He usually...)
72394-1-entrytone|ᎠᎲᏍᎦ|À:hv́sga.|He is setting it down
72394-1-vfirstprestone|ᏥᎥᏍᎦ|Jiɂv́sga.|I am setting it down (I am...)
72394-1-vsecondimpertone|ᎯᎲᎦ|Hihv̀:ga.|Let you be setting it down (Let you...)
72394-1-vthirdinftone|ᎤᏗ|U:hdi.|For him to be setting it down (For him to...)
72394-1-vthirdpasttone|ᎤᏅᎢ|Ù:hnv̌:ɂi.|He did sett it down (He did...a while ago)
72394-1-vthirdprestone|ᎠᎲᏍᎪᎢ|À:hvsgó:ɂi.|He is usually setting it down (He usually...)
72395-1-entrytone|ᎠᏩᏘᎭ|À:hwahtíha.|He is finding him, it
72395-1-vfirstprestone|ᏥᏩᏘᎭ|Jì:wahtíha.|I am finding him, it (I am...)
72395-1-vsecondimpertone|ᎯᏩᏔ|Hì:wahta.|Let you be finding him, it (Let you...)
72395-2-vsecondimpertone|ᎯᏩᏔ|Hihwahta.|Let you be finding him, it (Let you...)
72395-1-vthirdinftone|ᎤᏩᏛᏗ|U:hwahtvhdi.|For him to be finding him, it (For him to...)
72395-1-vthirdpasttone|ᎤᏩᏛᎲᎢ|Ù:hwahtv:hv̌:ɂi.|He did find him, it (He did...a while ago)
72395-1-vthirdprestone|ᎠᏩᏘᏍᎪᎢ|À:hwahtǐ:sgóɂi.|He is usually finding him, it (He usually...)
72396-1-entrytone|ᎠᏩᏛᎯᏙᎭ|À:hwahtv:hǐ:dô:ha.|He is visiting him
72396-1-vfirstprestone|ᏥᏩᏛᎯᏙᎭ|Jì:wahtv:hǐ:dô:ha.|I am visiting him (I am...)
72396-1-vsecondimpertone|ᎯᏩᏛᎯᏓ|Hì:wahtv:hǐ:da.|Let you be visiting him (Let you...)
72396-1-vthirdinftone|ᎤᏩᏛᎯᏓᏍᏗ|U:hwahtv:hǐ:dâ:sdi.|For him to be visiting him (For him to...)
72396-1-vthirdpasttone|ᎤᏩᏛᎯᏙᎸᎢ|Ù:hwahtv:hǐ:dô:lv̌:ɂi.|He did visit him (He did...a while ago)
72396-1-vthirdprestone|ᎠᏩᏛᎯᏙᎰᎢ|À:hwahtv:hǐ:dô:hó:ɂi.|He is usually visiting him (He usually...)
72397-1-entrytone|ᎠᏫᏗᎭ|À:hwi:dí:ha.|He is taking it somewhere
72397-1-vfirstprestone|ᏥᏫᏗᎭ|Jì:wi:díha.|I am taking it somewhere (I am...)
72397-1-vsecondimpertone|ᎯᏫᏓ|Hihwǐ:da.|Let you be taking it somewhere (Let you...)
72397-1-vthirdinftone|ᎤᏫᏘᏗ|U:hwi:tdi.|For him to be taking it somewhere (For him to...)
72397-1-vthirdpasttone|ᎤᏫᏛᎲᎢ|Ù:hwi:dv:hv̌:ɂi.|He did tak it somewhere (He did...a while ago)
72397-1-vthirdprestone|ᎠᏫᏗᏍᎪᎢ|À:hwi:dǐ:sgóɂi.|He is usually taking it somewhere (He usually...)
72398-1-entrytone|ᎠᏫᏍᎦ|À:hwisga.|He is planting it
72398-1-vfirstprestone|ᏥᏫᏍᎦ|Jì:wisga.|I am planting it (I am...)
72398-1-vsecondimpertone|ᎯᏫ|Hihwi.|Let you be planting it (Let you...)
72398-1-vthirdinftone|ᎤᏫᏍᏗ|U:hwisdi.|For him to be planting it (For him to...)
72398-1-vthirdpasttone|ᎤᏫᏒᎢ|Ù:hwisv̌:ɂi.|He did plant it (He did...a while ago)
72398-1-vthirdprestone|ᎠᏫᏍᎪᎢ|À:hwisgó:ɂi.|He is usually planting it (He usually...)
72399-1-entrytone|ᎠᏯᏢᏗ|A:hyadlv̋:di.|Necktie
72399-1-nounadjpluraltone|ᏗᏯᏢᏗ|Di:hyadlv̋:di.|Necktie (plural)
72400-1-entrytone|ᎠᏯᎨᏗᏍᎦ|À:hyahkě:tsga.|He is peeling it
72400-1-vfirstprestone|ᏥᏯᎨᏗᏍᎦ|Jì:yahkě:tsga.|I am peeling it (I am...)
72400-1-vsecondimpertone|ᎯᏯᎨᏗᏌ|Hihyahkě:tsa.|Let you be peeling it (Let you...)
72400-1-vthirdinftone|ᎤᏯᎨᏗᏍᏗ|U:hyahkě:tsdi.|For him to be peeling it (For him to...)
72400-1-vthirdpasttone|ᎤᏯᎨᏗᏒᎢ|Ù:hyahkě:tsv́:ɂi.|He did peel it (He did...a while ago)
72400-1-vthirdprestone|ᎠᏯᎨᏗᏍᎪᎢ|À:hyahkě:tsgóɂi.|He is usually peeling it (He usually...)
72401-1-entrytone|ᎠᏯᏟᏗ|Á:hyahldi.|Necklace
72401-1-nounadjpluraltone|ᏗᏯᏟᏗ|Dí:hyahldi.|Necklace (plural)
72402-1-entrytone|ᎠᏯᏛᎲᏍᎦ|À:hyahtv̌:hv́sga.|It is (the ground) becoming frosty
72402-1-vthirdinftone|ᎤᏯᏛᏘᏗ|U:hyahtv́:tdi.|For him to be (the ground) becoming frosty (For him to...)
72402-1-vthirdpasttone|ᎤᏯᏛᏅᎢ|Ù:hyahtv̌:hnv́:ɂi.|A while ago he did (the ground) becoming frosty (He did...a while ago)
72402-1-vthirdprestone|ᎠᏯᏛᎲᏍᎪᎢ|À:hyahtv̌:hv́sgó:ɂi.|It is usually (the ground) becoming frosty (He usually...)
72403-1-entrytone|ᎠᏯᏂᎭ|À:hyaníha.|1. he is calling him, inviting him. 2. he is receiving, getting him
72403-1-vfirstprestone|ᏥᏯᏂᎭ|Jì:yaníha.|1. I am calling him, inviting him. 2. I am receiving, getting him (I am...)
72403-1-vsecondimpertone|ᎯᏯᎾ|Hì:yana.|1. Let you be calling him, inviting him. 2. Let you be receiving, getting him (Let you...)
72403-1-vthirdinftone|ᎤᏯᏅᏗ|U:hyanhdi.|1. For him to be calling him, inviting him. 2. For him to be receiving, getting him (For him to...)
72403-1-vthirdpasttone|ᎤᏯᏅᎲᎢ|Ù:hyanv:hv̌:ɂi.|1. He did call him, inviting him. 2. He did receiv, getting him (He did...a while ago)
72403-1-vthirdprestone|ᎠᏯᏂᏍᎪᎢ|À:hyanǐ:sgóɂi.|1. he is usually calling him, inviting him. 2. he is usually receiving, getting him (He usually...)
72404-1-entrytone|ᎠᏰᎦ|À:hyé:ga.|He is taking it somewhere by hand
72404-1-vfirstprestone|ᏥᏰᎦ|Jì:yé:ga.|I am taking it somewhere by hand (I am...)
72404-1-vsecondimpertone|ᎯᏳᎦ|Hihyù:ga.|Let you be taking it somewhere by hand (Let you...)
72404-1-vthirdinftone|ᎤᏴᏍᏗ|U:hyv̀:sdi.|For him to be taking it somewhere by hand (For him to...)
72404-1-vthirdpasttone|ᎤᏴᏒᎢ|Ù:hyv́:sv̌:ɂi.|He did tak it somewhere by hand (He did...a while ago)
72404-1-vthirdprestone|ᎠᏰᎪᎢ|À:hyé:gó:ɂi.|He is usually taking it somewhere by hand (He usually...)
72405-1-entrytone|ᎠᏰᎭ|À:hyeha.|He is holding it in his hand
72405-1-vfirstprestone|ᏥᏰᎭ|Jì:yeha.|I am holding it in his hand (I am...)
72405-1-vthirdpasttone|ᎠᏰᎲᎢ|À:hye:hv̌:ɂi.|He did hold it in his hand (He did...a while ago)
72405-1-vthirdprestone|ᎠᏰᎰᎢ|À:hye:hó:ɂi.|He is usually holding it in his hand (He usually...)
72406-1-entrytone|ᎠᏰᎦᏢᏍᎦ|À:hyehgahlv́:sga.|He is quilting it
72406-1-vfirstprestone|ᏥᏰᎦᏢᏍᎦ|Jì:yehgahlv́sga.|I am quilting it (I am...)
72406-1-vsecondimpertone|ᎯᏰᎦᏢᎦ|Hi:hyehgahlv̀:ga.|Let you be quilting it (Let you...)
72406-1-vthirdinftone|ᎤᏰᎦᏢᏗ|U:hyehgahldi.|For him to be quilting it (For him to...)
72406-1-vthirdpasttone|ᎤᏰᎦᏝᏅᎢ|Ù:hyehgahlánv́:ɂi.|He did quilt it (He did...a while ago)
72406-1-vthirdprestone|ᎠᏰᎦᏢᏍᎪᎢ|À:hyehgahlv́sgóɂi.|He is usually quilting it (He usually...)
72407-1-entrytone|ᎠᏰᏠᎭ|À:hyě:hlóha.|1. he is making an incision 2. he is operating on him
72407-1-vfirstprestone|ᏥᏰᏠᎭ|Jì:yě:hlóha.|1. I am making an incision 2. I am operating on him (I am...)
72407-1-vsecondimpertone|ᎯᏰᎳᎦ|Hì:ye:laga.|1. Let you be making an incision 2. Let you be operating on him (Let you...)
72407-2-vsecondimpertone|ᎯᏰᎳᎦ|Hihye:laga.|1. Let you be making an incision 2. Let you be operating on him (Let you...)
72407-1-vthirdinftone|ᎤᏰᎵᏍᏗ|U:hyě:lsdi.|1. For him to be making an incision 2. For him to be operating on him (For him to...)
72407-1-vthirdpasttone|ᎤᏰᏝᎸᎢ|Ù:hyě:hlálv̌:ɂi.|1. He did mak an incision 2. He did operat on him (He did...a while ago)
72407-1-vthirdprestone|ᎠᏰᏠᎰᎢ|À:hyě:hlóhó:ɂi.|1. he is usually making an incision 2. he is usually operating on him (He usually...)
72408-1-entrytone|ᎠᏰᎵᎠ|À:hye:lí:ɂa.|1. he is imitating him, it 2. he is mocking him
72408-1-vfirstprestone|ᏥᏰᎵᎠ|Jì:yelí:ɂa.|1. I am imitating him, it 2. I am mocking him (I am...)
72408-1-vsecondimpertone|ᎯᏰᎳ|Hì:yě:la.|1. Let you be imitating him, it 2. Let you be mocking him (Let you...)
72408-1-vthirdinftone|ᎤᏰᎵᏍᏗ|U:hye:lì:sdi.|1. For him to be imitating him, it 2. For him to be mocking him (For him to...)
72408-1-vthirdpasttone|ᎤᏰᎵᏒᎢ|U:hyelǐ:sv̌:ɂi.|1. He did imitat him, it 2. He did mock him (He did...a while ago)
72408-1-vthirdprestone|ᎠᏰᎵᏍᎪᎢ|À:hye:lí:sgó:ɂi.|1. he is usually imitating him, it 2. he is usually mocking him (He usually...)
72409-1-entrytone|ᎠᏰᎵᏍᏗ|Ahyelsdi.|Knife
72409-2-entrytone|ᎭᏰᎵᏍᏗ|Hayelsdi.|Knife
72410-1-entrytone|ᎠᏲᎭ|À:hyóha.|He is looking for him
72410-1-vfirstprestone|ᏥᏲᎭ|Ji:yóha.|I am looking for him (I am...)
72410-1-vsecondimpertone|ᎯᏲᎦ|Hìyhga.|Let you be looking for him (Let you...)
72410-1-vthirdinftone|ᎤᏯᏍᏗ|Uysdi.|For him to be looking for him (For him to...)
72410-1-vthirdpasttone|ᎤᏯᎸᎢ|Ù:hyalv̌:ɂi.|He did look for him (He did...a while ago)
72410-1-vthirdprestone|ᎠᏲᎰᎢ|À:hyohó:ɂi.|He is usually looking for him (He usually...)
72411-1-entrytone|ᎠᏳᎢᏁᎦ|À:hyúɂi:né:ga.|He is swimming (propelling himself through water)
72411-1-vfirstprestone|ᎦᏳᎢᏁᎦ|Gà:yúɂi:né:ga.|I am swimming (propelling myself through water) (I am...)
72411-1-vsecondimpertone|ᎭᏳᎢᏄᎦ|Ha:hyuɂi:nù:ga.|Let you be swimming (propelling himself through water) (Let you...)
72411-1-vthirdinftone|ᎤᏳᎢᏅᏍᏗ|U:hyuɂǐ:nv̂:sdi.|For him to be swimming (propelling himself through water) (For him to...)
72411-1-vthirdpasttone|ᎤᏳᎢᏅᏒᎢ|Ù:hyúɂi:nv́:sv̌:ɂi.|He did swimm (propelling himself through water) (He did...a while ago)
72411-1-vthirdprestone|ᎠᏳᎢᏁᎪᎢ|À:hyúɂi:né:gó:ɂi.|He is usually swimming (propelling himself through water) (He usually...)
72412-1-entrytone|ᎠᏴᏓᏆᎶᎠ|À:hyv:dagwalóɂa.|It is thundering
72412-1-vthirdinftone|ᎤᏴᏓᏆᎶᏍᏗ|U:hyv:dagwalò:sdi.|For him to be thundering (For him to...)
72412-1-vthirdpasttone|ᎤᏴᏓᏆᎶᎥᎢ|Ù:hyv:dagwalóɂvi.|He did thunder (He did...a while ago)
72412-1-vthirdprestone|ᎠᏴᏓᏆᎶᏍᎪᎢ|À:hyv:dagwálô:sgó:ɂi.|It is usually thundering (He usually...)
72413-1-entrytone|ᎠᏴᏓᏆᎶᏍᎩ|Ahyv:dagwalò:sgi.|Thunder
72414-1-entrytone|ᎠᏴᏜᏗᏍᏗᏍᎩ|Ahyv:dladì:sdi̋:sgi.|1. refrigerator 2. air conditioner
72414-1-nounadjpluraltone|ᏗᏴᏜᏗᏍᏗᏍᎩ|Di:hyv:dladì:sdi̋:sgi.|1. refrigerator 2. air conditioner (plural)
72415-1-entrytone|ᎠᏴᏠ|Ahyvhdlo.|Ladder
72415-1-nounadjpluraltone|ᏗᏴᏠ|Di:hyvhdlo.|Ladder (plural)
72416-1-entrytone|ᎠᏴᏈᏛᏍᎦ|À:hyvhgwídv̂:sga.|1. he is bending it  2. she is hemming it
72416-1-vfirstprestone|ᏥᏴᏈᏛᏍᎦ|Jì:yvhgwídv̂:sga.|1. I am bending it  2. I am hemming it (I am...)
72416-1-vsecondimpertone|ᎯᏴᏈᏛᎥᎦ|Hihyvhgwidvɂv̀:ga.|1. Let you be bending it  2. Let you be hemming it (Let you...)
72416-1-vthirdinftone|ᎤᏴᏈᏛᏗ|U:hyvhgwidv̀:di.|1. For him to be bending it  2. For her to be hemming it (For him to...)
72416-1-vthirdpasttone|ᎤᏴᏈᏛᏅᎢ|Ù:hyvhgwídv̂:nv̌:ɂi.|1. He did bend it  2. She did hemm it (He did...a while ago)
72416-1-vthirdprestone|ᎠᏴᏈᏛᏍᎪᎢ|À:hyvhgwídv̂sgó:ɂi.|1. he is usually bending it  2. she is usually hemming it (He usually...)
72417-1-entrytone|ᎠᏴᏤᏂ|Ahyvhje̋:ni.|His neck, throat
72417-1-vfirstprestone|ᏥᏴᏤᏂ|Jì:yvhje̋:ni.|His neck, throat (I am...)
72418-1-entrytone|ᎠᏴᏖᎠ|À:hyvhté:ɂa.|He is kicking him, it
72418-1-vfirstprestone|ᏥᏯᏴᏖᎠ|Ji:yà:yvhté:ɂa.|I am kicking him, it (I am...)
72418-2-vfirstprestone|ᎦᏴᏖᎠ|Gayvhtea.|I am kicking him, it (I am...)
72418-1-vsecondimpertone|ᎯᏯᏴᏔᎩ|Hi:yàyhtagi.|Let you be kicking him, it (Let you...)
72418-2-vsecondimpertone|ᎭᏴᏔᎩ|Ha:hyvhtagi.|Let you be kicking him, it (Let you...)
72418-1-vthirdinftone|ᎤᏴᏖᏍᏗ|U:hyvhtè:sdi.|For him to be kicking him, it (For him to...)
72418-1-vthirdpasttone|ᎤᏴᏖᏒᎢ|Ù:hyvhté:sv̌:ɂi.|He did kick him, it (He did...a while ago)
72418-1-vthirdprestone|ᎠᏴᏖᏍᎪᎢ|À:hyvhté:sgó:ɂi.|He is usually kicking him, it (He usually...)
72419-1-entrytone|ᎠᏴᎩ|Ahyv̋:ki.|Prisoner, captive
72419-1-nounadjpluraltone|ᎠᏂᏴᎩ|Ani:hyv̋:ki.|Prisoner, captive (plural)
72420-1-entrytone|ᎠᏴᎩᏗᎠ|À:hyv̌:kí:diɂa.|He is capturing him
72420-1-vfirstprestone|ᏥᏴᎩᏗᎠ|Jì:yv̌:kí:diɂa.|I am capturing him (I am...)
72420-1-vsecondimpertone|ᎯᏴᎩᏓ|Hì:yv:kǐ:da.|Let you be capturing him (Let you...)
72420-1-vthirdinftone|ᎤᏴᎩᏗᏍᏗ|U:hyv̌:kí:dì:sdi.|For him to be capturing him (For him to...)
72420-1-vthirdpasttone|ᎤᏴᎩᏛᎢ|Ù:hyv̌:kí:dv̌:ɂi.|He did captur him (He did...a while ago)
72420-1-vthirdprestone|ᎠᏴᎩᏗᏍᎪᎢ|À:hyv̌:kí:dì:sgó:ɂi.|He is usually capturing him (He usually...)
72421-1-entrytone|ᎠᏴᏍᏕᎷᎲᏍᎦ|À:hyv̌:sdé:lu:hvsga.|He is hitting him on the nose
72421-1-vfirstprestone|ᏥᏴᏍᏕᎷᎲᏍᎦ|Jì:yv̌:sdé:lu:hvsga.|I am hitting him on the nose (I am...)
72421-1-vsecondimpertone|ᎯᏴᏍᏕᎷᎲᎦ|Hì:yv:sde:lu:hv̀:ga.|Let you be hitting him on the nose (Let you...)
72421-1-vthirdinftone|ᎤᏴᏍᏕᎷᏗ|U:hyv̌:sdé:luhdi.|For him to be hitting him on the nose (For him to...)
72421-1-vthirdpasttone|ᎤᏴᏍᏕᎷᏅᎢ|Ù:hyv̌:sdé:lu:hnv̌:ɂi.|He did hitt him on the nose (He did...a while ago)
72421-1-vthirdprestone|ᎠᏴᏍᏕᎷᎲᏍᎪᎢ|À:hyv̌:sdé:lu:hvsgó:ɂi.|He is usually hitting him on the nose (He usually...)
72422-1-entrytone|ᎠᏴᏍᎩᏱᎭ|À:hyvsgǐ:yí:ha.|He is choking him
72422-1-vfirstprestone|ᏥᏴᏍᎩᏱᎭ|Jì:yvsgǐ:yí:ha.|I am choking him (I am...)
72422-1-vsecondimpertone|ᎯᏴᏍᎩᏯ|Hì:yvsgǐ:ya.|Let you be choking him (Let you...)
72422-1-vthirdinftone|ᎤᏴᏍᎩᏴᏗ|U:hyvsgǐyhdi.|For him to be choking him (For him to...)
72422-1-vthirdpasttone|ᎤᏴᏍᎩᏴᎲᎢ|U:hyvsgǐ:yv́:hv̌:ɂi.|He did chok him (He did...a while ago)
72422-1-vthirdprestone|ᎠᏴᏍᎩᏱᏍᎪᎢ|À:hyvsgǐ:yí:sgó:ɂi.|He is usually choking him (He usually...)
72423-1-entrytone|ᎠᎢ|Á:ɂi.|He is walking
72423-1-vfirstprestone|ᎦᎢ|Gá:ɂi.|I am walking (I am...)
72423-1-vthirdpasttone|ᎠᎢᏒᎢ|Á:ɂi:sv̌:ɂi.|He did walk (He did...a while ago)
72423-1-vthirdprestone|ᎠᎢᏐᎢ|Á:ɂi:só:ɂi.|He is usually walking (He usually...)
72424-1-entrytone|ᎠᏣᏗ|Ajaɂdi.|Fish
72425-1-entrytone|ᎠᏣᏓ|Ajahda.|Choctaw
72425-1-nounadjpluraltone|ᎠᏂᏣᏓ|Ani:jahda.|Choctaw (plural)
72426-1-entrytone|ᎠᏣᎢᎠ|À:jáɂiɂa.|It is hatching
72426-1-vfirstprestone|ᎦᏣᎢᎠ|Gajáɂiɂa.|I am hatching (I am...)
72426-1-vsecondimpertone|ᎭᏣᎢ|Hajaɂi.|Let you be hatching (Let you...)
72426-1-vthirdinftone|ᎤᏣᎢᏍᏗ|U:jaɂì:sdi.|For him to be hatching (For him to...)
72426-1-vthirdpasttone|ᎤᏣᎢᏒᎢ|Ù:jáɂì:sv̌:ɂi.|He did hatch (He did...a while ago)
72426-1-vthirdprestone|ᎠᏣᎢᏍᎪᎢ|À:jáɂì:sgó:ɂi.|It is usually hatching (He usually...)
72427-1-entrytone|ᎠᏣᏅᏍᎦ|À:janv:sga.|He is dressing up
72427-1-vfirstprestone|ᎦᏣᏅᏍᎦ|Gajanv̀:sga.|I am dressing up (I am...)
72427-1-vsecondimpertone|ᎭᏣᏅᎾ|Hajanv̌:na.|Let you be dressing up (Let you...)
72427-1-vthirdinftone|ᎤᏣᏅᏗ|U:janvhdi.|For him to be dressing up (For him to...)
72427-1-vthirdpasttone|ᎤᏣᏅᏅᎢ|Ù:janv:hnv̌:ɂi.|He did dress up (He did...a while ago)
72427-1-vthirdprestone|ᎠᏣᏅᏍᎪᎢ|À:janv:sgó:ɂi.|He is usually dressing up (He usually...)
72429-1-entrytone|ᎠᏣᎥᏍᎦ|À:jáɂvsga.|He is getting in a car, box, etc
72429-1-vfirstprestone|ᎦᏣᎥᏍᎦ|Gajávsga.|I am getting in a car, box, etc (I am...)
72429-1-vsecondimpertone|ᎭᏣᎥᎦ|Hajaɂv̀:ga.|Let you be getting in a car, box, etc (Let you...)
72429-1-vthirdpasttone|ᎤᏣᏅᎢ|Ù:jâ:nv̌:ɂi.|He did gett in a car, box, etc (He did...a while ago)
72429-1-vthirdprestone|ᎠᏣᎥᏍᎪᎢ|À:jáɂvsgó:ɂi.|He is usually getting in a car, box, etc (He usually...)
72430-1-entrytone|ᎠᏤᎵᏍᏛᎢ|À:jě:lî:sdv̋:ɂi.|Grave
72430-1-nounadjpluraltone|ᏓᏤᎵᏍᏛᎢ|Dà:jě:lî:sdv̋:ɂi.|Grave (plural)
72431-1-entrytone|ᎠᏤᎸᏍᎦ|À:je:lv:sga.|He is acting like him
72431-1-vfirstprestone|ᎦᏤᎸᏍᎦ|Gaje:lv̀:sga.|I am acting like him (I am...)
72431-1-vsecondimpertone|ᎭᏤᎸᎾ|Haje:lv̌:na.|Let you be acting like him (Let you...)
72431-1-vthirdinftone|ᎤᏤᎸᏗ|U:jehldi.|For him to be acting like him (For him to...)
72431-1-vthirdpasttone|ᎤᏤᎸᏅᎢ|Ù:je:lv:hnv̌:ɂi.|He did act like him (He did...a while ago)
72431-1-vthirdprestone|ᎠᏤᎸᏍᎪᎢ|À:je:lv:sgó:ɂi.|He is usually acting like him (He usually...)
72432-1-entrytone|ᎠᏤᏍᏙ|Aje:sdo.|Mattress
72432-1-nounadjpluraltone|ᏗᏤᏍᏙ|Di:je:sdo.|Mattress (plural)
72433-1-entrytone|ᎠᏤᏫᎠ|À:jě:wíɂa.|1. he is spilling it (a liquid or nonliquid like salt, sugar) 2. he is pouring it on the ground (liquid or non-liquid) 3. he is being wasteful (of money, etc.)
72433-1-vfirstprestone|ᎦᏤᏫᎠ|Gajě:wíɂa.|1. I am spilling it (a liquid or nonliquid like salt, sugar) 2. I am pouring it on the ground (liquid or non-liquid) 3. I am being wasteful (of money, etc.) (I am...)
72433-1-vsecondimpertone|ᎭᏤᏩ|Hajě:wa.|1. Let you be spilling it (a liquid or nonliquid like salt, sugar) 2. Let you be pouring it on the ground (liquid or non-liquid) 3. Let you be being wasteful (of money, etc.) (Let you...)
72433-1-vthirdinftone|ᎤᏤᏩᏍᏗ|U:jě:wâ:sdi.|1. For him to be spilling it (a liquid or nonliquid like salt, sugar) 2. For him to be pouring it on the ground (liquid or non-liquid) 3. For him to be being wasteful (of money, etc.) (For him to...)
72433-1-vthirdpasttone|ᎤᏤᏮᎢ|Ù:jé:wv̌:ɂi.|1. He did spill it (a liquid or nonliquid like salt, sugar) 2. He did pour it on the ground (liquid or non-liquid) 3. He did be wasteful (of money, etc.) (He did...a while ago)
72433-1-vthirdprestone|ᎠᏤᏫᏍᎪᎢ|À:jě:wî:sgó:ɂi.|1. he is usually spilling it (a liquid or nonliquid like salt, sugar) 2. he is usually pouring it on the ground (liquid or non-liquid) 3. he is usually being wasteful (of money, etc.) (He usually...)
72434-1-entrytone|ᎠᏥᎳ|Ajǐ:la.|Fire
72435-1-entrytone|ᎠᏥᎳ|Ajǐ:la.|Watercress
72436-1-entrytone|ᎠᏥᎳ ᎨᏠᎯ|Ajǐ:la gé:hlohi.|Catholic
72437-1-entrytone|ᎠᏥᎳ ᎪᏢᏗ|Ajǐ:la gó:hlvhdi.|Match
72437-1-nounadjpluraltone|ᏗᏥᎳ ᏗᎪᏢᏗ|Di:jǐ:la digó:hlvhdi.|Match (plural)
72438-1-entrytone|ᎠᏥᎸᎯ|Aji:lv̋:hi.|In the fire
72439-1-entrytone|ᎠᏥᎸᏍᎦ|À:ji:lv:sga.|It is blooming
72439-1-vthirdinftone|ᎤᏥᎸᏗ|U:jihldi.|For him to be blooming (For him to...)
72439-1-vthirdpasttone|ᎤᏥᎸᏅᎢ|Ù:ji:lv:hnv̌:ɂi.|He did bloom (He did...a while ago)
72439-1-vthirdprestone|ᎠᏥᎸᏍᎪᎢ|À:ji:lv:sgó:ɂi.|It is usually blooming (He usually...)
72440-1-entrytone|ᎠᏥᎸᏍᎩ|Aji:lv̋:sgi.|Flower
72440-1-nounadjpluraltone|ᎠᏂᏥᎸᏍᎩ|Ani:ji:lv̋:sgi.|Flower (plural)
72441-1-entrytone|ᎠᏥᎾ|Ajina.|Cedar
72442-1-entrytone|ᎠᏥᏍᎸᏍᎦ|À:jí:slvsga.|Light a fire, match
72442-1-vfirstprestone|ᏥᏥᏍᎸᏍᎦ|Jijí:slv:sga.|Light a fire, match (I am...)
72442-1-vsecondimpertone|ᎭᎢᏥᏍᎸᎦ|Hijì:slv̀:ga.|Light a fire, match (Let you...)
72442-1-vthirdinftone|ᎤᏥᏍᎸᏍᏗ|U:jì:slv́sdi.|Light a fire, match (For him to...)
72442-1-vthirdpasttone|ᎤᏥᏍᎳᏅᎢ|Ù:jí:slanv̌:ɂi.|Light a fire, match (He did...a while ago)
72442-1-vthirdprestone|ᎠᏥᏍᎸᏍᎪᎢ|À:jí:slv:sgó:ɂi.|Light a fire, match (He usually...)
72443-1-entrytone|ᎠᏦᏔᏍᎦ|À:jó:tasga.|He is blowing, he is blowing on it
72443-1-vfirstprestone|ᎦᏦᏔᏍᎦ|Gajó:tasga.|I am blowing, I am blowing on it (I am...)
72443-1-vsecondimpertone|ᎭᏦᏔ|Hajò:ta.|Let you be blowing, Let you be blowing on it (Let you...)
72443-1-vthirdinftone|ᎤᏦᏔᏍᏗ|U:jò:tásdi.|For him to be blowing, For him to be blowing on it (For him to...)
72443-1-vthirdpasttone|ᎤᏦᏔᎲᎢ|Ù:jó:tahv̌:ɂi.|He did blow, He did blow on it (He did...a while ago)
72443-1-vthirdprestone|ᎠᏦᏔᏍᎪᎢ|À:jó:tasgó:ɂi.|He is usually blowing, he is usually blowing on it (He usually...)
