"id","entrytone","nounadjpluraltone","vfirstprestone","vsecondimpertone","vthirdinftone","vthirdpasttone","vthirdprestone","definitiond"
72373,"ahl1te3lv2hv.3sga","","ga.2li1te3lv2hv.3sga","hahl2te1lv2hv1ga","uhl2tehl1di","uhl1te3lv2hnv23?i","ahl1te3lv2hv.2sgo3?i","he, it's moving (without changing location)"
72374,"a1hna.2wa.3?i2yv3?a","","ga.2ni1wa.3?i2yv3?a","ha.2hna.2wa.2?i2yv23na","u2hna.2wa.2?i23yv32sdi","u1hna.2wa3?i2yv3sv23?i","a1hna.2wa.3?i2yv3sgo3?i","he's changing his shirt"
72375,"a1hna.2we3?a","","ga.2ni1we3?a","ha.2hna.2wa.2gi","u2hna.2we1sdi","u1hna.2we3sv23?i","a1hna.2we3sgo3?i","he's taking his shirt, coat off"
72376,"a.2hna.2wo","di2hna.2wo","","","","","","shirt"
72377,"a1hna.2wo3?a","","ga.2ni1wo3?a","ha.2hna.2wo23ja","u2hna.2wo1sdi","u1hna.2wo3?v23?i","a1hna.2wo3sgo3?i","he's putting on a shirt"
72378,"a1hne.2ha","","ji1ne.2ha","hi.2?v.2si","u2hneh3di","u1hne23lv3?i","a1hne23ho.3?i","he's giving it to him"
72379,"a3hne23hi.3ha","","ga3hne23hi.3ha","ha1hne23ga","u1hne23sdi","u3hne23hlv3?i","a3hne23hi.3ho3?i","he's wrestling"
72380,"a1hnehl3di.2ha","","ga1nehl3di.2ha","ha2hnehl2da","u2hnehl3doh2di","u1hnehl3ta.2nv23?i","a1hnehl3di2sgo3?i","he's interpreting, translating it"
72381,"a2hnehl3tanv?i","di2hnehl3ta.2nv4?i","","","","","","interpretation, translation"
72382,"a1hne2jo.3sga","","ga1ne2jo.3sga","ha2hne2jo.2?v1ga","u2hne2jo2di","u1hne2jo3nv23?i","a1hne2jo.3sgo3?i","he's frolicking"
72383,"a1hne3sge.2ha","","ga1ne3sge.2ha","ha2hne1sgv23la","u2hne1sgeh2di","u1hne3sge2hv23?i","a1hne3sge2sgo3?i","he's building a house"
72384,"a1hni.2gi.3?a","","ga1ni.2gi.3?a","ha2hni.2gi","u23hni.3gi1sdi","u1hni.2gi32sv23?i","a1hni.2gi32sgo3?i","1. he's leaving  2. it's starting"
72385,"a1hni.2gi32sdi.2ha","","ga1ni.2gi32sdi.2ha","ha2hni.2gi1sda","u23hni.3gi1sdoh2di","u1hni.2gi32sta.2nv23?i","a1hni.2gi32sdi2sgo3?i","he's starting it"
72386,"a1hno.2hli23ne32ga","","ga1no.2hli23ne32ga","ha2hno.2hli2nu1ga","u2hno.2hli23nv32sdi","u2hno.2hli23nv32svi","a1hno.2hli23ne32go3?i","he's carrying a long object on his shoulder"
72387,"a.2ho4li","","","","","","","his mouth"
72388,"a1hu2di.3?a","","ji.2?u2di.3?a","hi.2hu23da","u2hu23di32sdi","u1hu3dv23?i","a1hu2di32sgo3?i","he's putting a long object in liquid"
72389,"a.2hu1ja.2wo23la.3dv4di","di2hu1ja.2wo23la.3dv4di","","","","","","stove pipe, lamp chimney"
72390,"a1hu3ja.2wo23la.3dv4i","da1hu3ja.2wo23la.3dv4?i","","","","","","chimney"
72391,"a.2hu2li","di2hu2li","","","","","","drum"
72392,"a1hu2lv3ni.2ha","","ji.2?u2lv3ni.2ha","hi.2?u2lv2ni1ga","u2hu2lv23ni32sdi","u1hu2lv23ni32lv23?i","a1hu2lv3ni.2ho3?i","he's hitting him on the mouth"
72393,"a1hv3?a","","ji.2?v3?a","hi.2hv23na","u2hv1sdi","u1hv3sv23?i","a1hv3sgo3?i","he's moving it from one place to another"
72394,"a1hv.3sga","","ji.2?v.3sga","hi.2hv1ga","u2hdi","u1hnv23?i","a1hv.2sgo3?i","he's setting it down"
72395,"a1hwah2ti.3ha","","ji1wah2ti.3ha","hi1wah2ta, hi.2hwah2ta","u2hwah2tvh2di","u1hwah2tv2hv23?i","a1hwah2ti23sgo.3?i","he's finding him, it"
72396,"a1hwah2tv2hi23do32ha","","ji1wah2tv2hi23do32ha","hi1wah2tv2hi23da","u2hwah2tv2hi23da32sdi","u1hwah2tv2hi23do32lv23?i","a1hwah2tv2hi23do32ho3?i","he's visiting him"
72397,"a1hwi2di3ha","","ji1wi2di.3ha","hi.2hwi23da","u2hwi2tdi","u1hwi2dv2hv23?i","a1hwi2di23sgo.3?i","he's taking it somewhere"
72398,"a1hwi.2sga","","ji1wi.2sga","hi.2hwi","u2hwi.2sdi","u1hwi.2sv23?i","a1hwi.2sgo3?i","he's planting it"
72399,"a2hya.2dlv4di","di2hya.2dlv4di","","","","","","necktie"
72400,"a1hyah2ke23tsga","","ji1yah2ke23tsga","hi.2hyah2ke23tsa","u2hyah2ke23tsdi","u1hyah2ke23tsv3?i","a1hyah2ke23tsgo.3?i","he's peeling it"
72401,"a3hyahl2di","di3hyahl2di","","","","","","necklace"
72402,"a1hyah2tv23hv.3sga","","","","u2hyah2tv3tdi","u1hyah2tv23hnv3?i","a1hyah2tv23hv.3sgo3?i","it's (the ground) becoming frosty"
72403,"a1hya.2ni.3ha","","ji1ya.2ni.3ha","hi1ya.2na","u2hyanh2di","u1hya.2nv2hv23?i","a1hya.2ni23sgo.3?i","1. he's calling him, inviting him. 2. he's receiving, getting him"
72404,"a1hye3ga","","ji1ye3ga","hi.2hyu1ga","u2hyv1sdi","u1hyv3sv23?i","a1hye3go3?i","he's taking it somewhere by hand"
72405,"a1hye.2ha","","ji1ye.2ha","","","a1hye2hv23?i","a1hye2ho3?i","he's holding it in his hand"
72406,"a1hyeh2ga.2hlv3sga","","ji1yeh2ga.2hlv.3sga","hi2hyeh2ga.2hlv1ga","u2hyeh2gahl2di","u1hyeh2ga.2hla.3nv3?i","a1hyeh2ga.2hlv.3sgo.3?i","he's quilting it"
72407,"a1hye23hlo.3ha","","ji1ye23hlo.3ha","hi1ye2la.2ga, hi.2hye2la.2ga","u2hye23lsdi","u1hye23hla.3lv23?i","a1hye23hlo.3ho3?i","1. he's making an incision 2. he's operating on him"
72408,"a1hye2li3?a","","ji1ye.2li3?a","hi1ye23la","u2hye2li1sdi","u2hyeli23sv23?i","a1hye2li3sgo3?i","1. he's imitating him, it 2. he's mocking him"
72409,"a.2hyel2sdi, ha.2yel2sdi","","","","","","","knife"
72410,"a1hyo.3ha","","ji2yo.3ha","hiyh1ga","uy2sdi","u1hya.2lv23?i","a1hyo.2ho3?i","he's looking for him"
72411,"a1hyu.3?i2ne3ga","","ga1yu.3?i2ne3ga","ha2hyu.2?i2nu1ga","u2hyu.2?i23nv32sdi","u1hyu.3?i2nv3sv23?i","a1hyu.3?i2ne3go3?i","he's swimming (propelling himself through water)"
72412,"a1hyv2da.2gwa.2lo.3?a","","","","u2hyv2da.2gwa.2los1di","u1hyv2da.2gwa.2lo.3?vi","a1hyv2da.2gwa.3lo32sgo3?i","it's thundering"
72413,"a.2hyv2da.2gwa.2lo1sgi","","","","","","","thunder"
72414,"a.2hyv2dla.2di1sdi4sgi","di2hyv2dla.2di1sdi4sgi","","","","","","1. refrigerator 2. air conditioner"
72415,"a.2hyvh2dlo","di2hyvh2dlo","","","","","","ladder"
72416,"a1hyvh2gwi.3dv32sga","","ji1yvh2gwi.3dv32sga","hi.2hyvh2gwi.2dv.2?v1ga","u2hyvh2gwi.2dv1di","u1hyvh2gwi.3dv32nv23?i","a1hyvh2gwi.3dv.32sgo3?i","1. he's bending it  2. she's hemming it"
72417,"a.2hyvh2je4ni","","ji1yvh2je4ni","","","","","his neck, throat"
72418,"a1hyvh2te3?a","","ji2ya1yvh2te3?a, gayvhtea","hi2yayh1ta.2gi, ha2hyvh2ta.2gi","u2hyvh2te1sdi","u1hyvh2te3sv23?i","a1hyvh2te3sgo3?i","he's kicking him, it"
72419,"a.2hyv4ki","a.2ni2hyv4ki","","","","","","prisoner, captive"
72420,"a1hyv23ki3di.2?a","","ji1yv23ki3di.2?a","hi1yv2ki23da","u2hyv23ki3di1sdi","u1hyv23ki3dv23?i","a1hyv23ki3di1sgo3?i","he's capturing him"
72421,"a1hyv23sde3lu2hv.2sga","","ji1yv23sde3lu2hv.2sga","hi1yv2sde2lu2hv1ga","u2hyv23sde3luh2di","u1hyv23sde3lu2hnv23?i","a1hyv23sde3lu2hv.2sgo3?i","he's hitting him on the nose"
72422,"a1hyv.2sgi23yi3ha","","ji1yv.2sgi23yi3ha","hi1yv.2sgi23ya","u2hyv.2sgiyh23di","u2hyv.2sgi23yv3hv23?i","a1hyv.2sgi23yi3sgo3?i","he's choking him"
72423,"a3?i","","ga3?i","","","a3?i2sv23?i","a3?i2so3?i","he's walking"
72424,"a.2ja.?2di","","","","","","","fish"
72425,"A.2jah2da","A.2ni2jah2da","","","","","","Choctaw"
72426,"a1ja.3?i.2?a","","ga.2ja.3?i.2?a","ha.2ja.2?i","u2ja.2?i1sdi","u1ja.3?i1sv23?i","a1ja.3?i1sgo3?i","it's hatching"
72427,"a1ja.2nv2sga","","ga.2ja.2nv1sga","ha.2ja.2nv23na","u2ja.2nvh2di","u1ja.2nv2hnv23?i","a1ja.2nv2sgo3?i","he's dressing up"
72429,"a1ja.3?v.2sga","","ga.2ja.3v.2sga","ha.2ja.2?v1ga","","u1ja32nv23?i","a1ja.3?v.2sgo3?i","He is getting in a car, box, etc"
72430,"a1je23li32sdv4?i","da1je23li32sdv4?i","","","","","","grave"
72431,"a1je2lv2sga","","ga.2je2lv1sga","ha.2je2lv23na","u2jehl2di","u1je2lv2hnv23?i","a1je2lv2sgo3?i","he's acting like him"
72432,"a.2je2sdo","di2je2sdo","","","","","","mattress"
72433,"a1je23wi.3?a","","ga.2je23wi.3?a","ha.2je23wa","u2je23wa32sdi","u1je3wv23?i","a1je23wi32sgo3?i","1. he's spilling it (a liquid or nonliquid like salt, sugar) 2. he's pouring it on the ground (liquid or non-liquid) 3. he's being wasteful (of money, etc.)"
72434,"a.2ji23la","","","","","","","fire"
72435,"a.2ji23la","","","","","","","watercress"
72436,"A.2ji23la Ge3hlo.2hi","","","","","","","Catholic"
72437,"a.2ji23la go3hlvh2di","di2ji23la di.2go3hlvh2di","","","","","","match"
72438,"a.2ji2lv4hi","","","","","","","in the fire"
72439,"a1ji2lv2sga","","","","u2jihl2di","u1ji2lv2hnv23?i","a1ji2lv2sgo3?i","it's blooming"
72440,"a.2ji2lv4sgi","a.2ni2ji2lv4sgi","","","","","","flower"
72441,"a.2ji.2na","","","","","","","cedar"
72442,"a1ji3slv.2sga","","ji.2ji3slv2sga","hi.2ji1slv1ga","u2ji1slv.3sdi","u1ji3sla.2nv23?i","a1ji3slv2sgo3?i","light a fire, match"
72443,"a1jo3ta.2sga","","ga.2jo3ta.2sga","ha.2jo1ta","u2jo1ta.3sdi","u1jo3ta.2hv23?i","a1jo3ta.2sgo3?i","he's blowing, he's blowing on it"
72444,"a1jv2stv.3sga","","ji.2jv1stv.2sga","hi.2jv2stv.1ga","u2jv2stv.3sdi","u1jv2sta.3nv3?i","a1jv2stv.3sgo.3?i","he's turning on a light"
72445,"a.2jvy4sdi","di2jvy4sdi","","","","","","lamp, light"
72446,"ak-","-----","-----","-----","-----","-----","-----","(see agi-)"
72447,"a.2ka.2ne23sdi","di2ka.2ne23sdi","","","","","","1.badge 2.pin"
72448,"a2ka.2sge4ni","di2ka.2sge4ni","","","","","","his hip"
72449,"a1ke23he32ga","","ji1ke23he32ga","hi1ke2hu1ga, hi.2ke2hu1ga","u1ke23hv32sdi","u1ke23hv32sv23?i","a1ke23he32go3?i","he's chasing him, it"
72450,"a.2ki.2hlo.3sv1sdi4?i","di2ki.2hlo.3sv1sdi4?i","","","","","","steps, stairs"
72451,"a1ki.2lv32di.2ha","","ji2ya1ki.2lv32di.2ha, ga1ki.2lv32di.2ha","hi2ya1ki.2lv1da, ha2ki.2lv1da","u2ki.2lv1doh2di","u1ki.2lv32ta.2nv23?i","a1ki.2lv32di2sgo3?i","he's riding it (anything that can be straddled)"
72452,"a.3ki.2sdi","di23ki.2sdi","","","","","","pill"
72453,"a1ki.2sga","","ji.?2gi.2sga","hi.2ki.2hi","u2ki.2hi.2sdi","u1ki.2sv23?i","a1ki.2sgo3?i","he's swallowing it"
72454,"a.2ki.2yu2sge","di2ki.2yu2sge","","","","","","elbow"
72455,"a.2ki.2yu2sge4ni","di2ki.2yu2sge4ni","","","","","","his elbow"
72456,"a1ko23de.3?a","","ji1ko23de.3?a","hi.2ko2da.2gi","u2ko23de32sdi","u1ko23de32sv23?i","a1ko23de32sgo3?i","he's shoveling it"
72457,"a.2ko23de4sdi","di2ko23de4sdi","","","","","","shovel, spade"
72458,"a.2ksga.2ni","","","","","","","left"
72459,"a.2ksga.3ni4da","a2ni2ksga.3ni4da","","","","","","lefthanded"
72460,"a1kso.3sga","","ji.2ga1so.3sga","hi.2kso1hi","u2kso1hi.2sdi","u1kso.3sv23?i","a1kso.3sgo3?i","he's going down hill"
72461,"a1kso2sgv4?i","da1kso2sgv4?i","","","","","","downhill route"
72462,"a.2kta","di2kta","","","","","","eye"
72463,"a1kta.2ha","","ji.2ga1ta.2ha","","","","a1kta.2ho3?i","he knows how"
72464,"a.3kta.2hi","a.2ni23kta.2hi","","","","","","witness"
72465,"a.3kta.2hna.2?i","a.2ni23kta.2hna.2?i","","","","","","knowledgeable"
72466,"a1kta.2hv3?a","","ga.2ga1ta.2hv3?a","ha.2kta.2hv23na","u2kta.2hv1sdi","u1kta.2hv3sv23?i","a1kta.2hv3sgo3?i","1. he's turning back 2. he's turning (his head or body)"
72467,"a1kta32sdi.2ha","","ga.2ga1ta32sdi.2ha","ha.2kta1sda","u2kta1sdoh3di","u1kta32sta.2nv23?i","a1kta32sdi2sgo3?i","he's winking"
72468,"a1kte2lu2hv.3sga","","ji2ga1te2lu2hv.3sga","hi2ga1te2lu2hv1ga","u2kte2luh2di","u1kte2lu2hnv23?i","a1kte2lu2hv.2sgo3?i","he's hitting him on the eye"
72469,"a.2kte23na32sdi4?i","","","","","","","scenery"
72470,"a1kte3no.2ha","","ji.2ga1te3no.2ha","hi.2kte2na.2ga","u2kte23na32sdi","u1kte23no32lv23?i","a1kte3no.2ho3?i","he's looking around"
72471,"a1kti.2ha","","ga.2ga1ti.2ha","ha.2kta","u2ktoh2di","u1kta.2hnv23?i","a1kti23sgo.3?i","he's peeking through"
72472,"a.2kti2si","a.2ni2kti2si","","","","","","1.n.right position, right hand,  2. adj. right-handed"
72473,"a1kti23ya","","ji2ga1ti23ya, ji.2ga1ti23ya","hi2ga1ti23da, hi.2kti23da","u2kti23di32sdi","u1kti3dv23?i","a1kti23yo.3?i","he's waiting for him/it"
72474,"a.2kti4yi","a.2ni2kti4yi","","","","","","guard"
72475,"a.ktoh2di","di23ktoh2di","","","","","","telescope"
72476,"a1kto32hv.2sga","","ji.2ga1to32hv.2sga","hi.2kto.2?v.2hi","u2kto.2?v.3hi.3sdi","u1kto32hv.2sv23?i","a1kto32hv.2sgo3?i","he's becoming wise"
72477,"a.2kto4li","di2kto4li","","","","","","his eye"
72478,"a1kto23sdi","","ji2ya.2ga1to23sdi,ga.1ga1to23sdi","hi2ya.2ga1to23sda, ha.2kto23sda","u2kto23sdoh3di","u1kto23sta.3nv23?i","a1kto23sdi3sgo3?i","he's looking at him/it"
72479,"a.2kto.2?v.2hi.3sdi","","","","","","","wisdom"
72480,"a1ktv3le2sga","","ji.2ga1tv3le2sga","hi.2ktv2le23hi","u2ktv2le23hi.3sdi","u1ktv3le2sv23?i","a1ktv3le2sgo3?i","he/it is going through it"
72481,"a1ku23gi.3?a","","ji.2gu23gi.3?a","hi.2ku23gi","u2ku23gi32sdi","u1ku23gi32sv23?i","a1ku23gi32sgo3?i","he's dipping liquid"
72482,"a.2ku23gi4sdi","di2ku23gi4sdi","","","","","","dipper"
72483,"a1kwi.2yi.3ha","","ga.2gwi.2yi.3ha","ha.2kwi.2ya","u2kwiyh2di","u1kwi.2yv2hv23?i","a1kwi.2yi23sgo.3?i","he's paying"
72484,"a1kwi.2yv3?e2ha","","ji2ya.2gwi.2yv3?e2ha","hi2ya.2gwi.2yv1si","u2kwi.2yv2?eh3di","u1kwi.2yv3?e2lv23?i","a1kwi.2yv3?e2ho3?i","he's paying him"
72485,"a.2kwsdo","di2kwsdo","","","","","","pillow"
72486,"a1la32sda.2?e2ha","","ji2ya.2la32sda.2?e2ha, ga.2la32sda.2?e2ha","hi2ya.2la1sda.2?v23la, ha.2la1sda.2?v23la","u2la1sda.2?eh3di","u1la32sda.2?e2hlv23?i","a1la32sda.2?e2sgo3?i","he's tromping on him/it,   he's speaking badly of him"
72487,"a1la32sdv.2sga","","ji2ya.2la32sdv.2sga, ga.2la32sdv.2sga","hi2ya.2la1sdv.2?v1ga, ha.2la1sdv.2?v1ga","u2la1sdv1di","u1la32sdv1nv23?i","a1la32sdv.2sgo3?i","he's stepping on him/it"
72488,"a1la32sga.2li.3ha","","ga.2la32sga.2li.3ha","ha.2la1sga.2la","u2la1sgahl3di","u1la32sga.2lv2hv23?i","a1la32sga.2li23sgo.3?i","he's playing ball"
72489,"a.2la1sga.2li4sgi","a.2na.2la1sga.2li4sgi","","","","","","ball player"
72490,"a1la32sgv.2?a","","ga.2la32sgv.2?a","ha.2la1sgv23na","u2la1sgv1sdi","u1la32sgv1sv23?i","a1la32sgv1sgo3?i","he's taking a step"
72491,"a.2la1suhl23di","","","","","","","law suit"
72492,"a.2la1su23lo","di2la1su23lo","","","","","","shoe"
72493,"a.2le","","","","","","","almost"
72494,"a.2le","","","","","","","and, or"
72495,"a1leh2di.3ha","","ga.2le1di.3ha","ha.2leh2da","u2leh2doh3di","u1leh2ta.3nv3?i","a1leh2di23sgo.3?i","he's placing a long object in an upright position"
72496,"a1le2hv.3sga","","ga.2le.2?v.3sga","ha.2le2hv1ga","u2leh2di","u1le2hnv23?i","a1le2hv.2sgo3?i","he's standing in a certain spot"
72497,"a1le2hwi.2sdi.3ha","","ga.2le1wi.2sdi.3ha","ha.2le2hwi.2sda","u2le2hwi.2sdoh3di","u1le2hwi.2sta.2nv3?i","a1le2hwi.2sdi23sgo.3?i","he/it is stopping"
72498,"a1le2hwi.2sdoh3di.3ha","","ji2ya.2le1wi.2sdoh3di.3ha, ga.2le1wi.2sdoh3di.3ha","hi2ya.2le1wi.2sdoh2da, ha.2le2hwi.2sdoh2da","u2le2hwi.2sdoh3doh3di","u1le2hwi.2sdoh3ta.3nv23?i","a1le2hwi.2sdoh3di3sgo3?i","he's stopping him/it"
72499,"a1le2ni.3ha",,"ga.2le2ni3?a","ha.2le23na","u2lenh2di","u1le2nv2hv23?i","a1le2ni23sgo.3?i","he's starting/beginning"
72500,"a1li.2dli.3ha","","","","u2lihl2di","u1li.2dlv2hv23?i","a1li.2dli23sgo.3?i","it's boiling"
72501,"a2li","","","","","","","sweat"
72502,"a.2li.2gv2da.2no23sdoh2di","","","","","","","headband"
72503,"a.2li.2gv2du2lo","di2li.2gv2du2lo","","","","","","mask"
72504,"a1li2he23li32che.2ha","","ji2ya.2li.2?e23li32che.2ha","hi2ya.2li.2?e2li1chi.2si","u2li2he23li32cheh2di","u1li2he23li32che2lv23?i","a1li2he23li32che2ho3?i","he's thanking him"
72505,"a1li2he23li32ga","","ga.2li.2?e23li32ga","ha.2li2he2li1gi","u2li2he2li.3sdi","u1li2he23li32jv23?i","a1li2he23li32go3?i","he's happy/thankful"
72506,"a2li.2?i","","","","","","","friendship"
72507,"a1li.3?i2di.3?a","","ga2li.3?i2di.3?a","ha2li.2?i23da","u2li.2?i23di32sdi","u1li.3?i2dv23?i","a1li.3i2di32sgo3?i","he's exchanging/trading it"
72508,"a1li.2ti3?a","","ga.2li1ti3?a","ha.2li.2ti","u2li.2ti1sdi","u1li.2ti3sv23?i","a1li.2ti3sgo3?i","he's running away, he's escaping"
72509,"a.2li.2ye1su2lo","di2li.2ye1su2lo","","","","","","glove"
72510,"a1li.2ye32su2stgi3?a","","ga.2li.2ye32su2stigi3?a","ha.2li.2ye1su2stgi","u2li.2ye1su23stgi32sdi","u1li.2ye32su2stgi3sv23?i","a1li.2ye32su2stgi3sgo3?i","he's taking his ring off"
72511,"a.2li.2ye1su23sto","di2li.2ye1su23sto","","","","","","ring"
72512,"a1li.2ye32su2stv.3sga","","ga.2li.2ye32su2stv.3sga","ha.2li.2ye1su2stv1ga","u2li.2ye1su23stv.3sdi","u1li.2ye32su2sta.3nv3?i","a1li.2ye32su2stv.3sgo.3?i","he's putting a ring on his finger"
72513,"a2li23yo","di2li23yo","","","","","","sock"
72514,"a1lji3kwsga","","gal2ji3kwsga","hal2ji1kwa","ul2ji1kwsdi","ul1ji3gwv23?i","al1ji3kwsgo3?i","he's spitting"
72516,"al1sa.2la.2di.3?a","","ga.2li1sa.2la.2di.3?a","hal2sa.2la.2dv1ga","ul2sa.2la.2do1di","ul1sa.2la.2da32nv23?i","al1sa.2la.2di32sgo3?i","he, it's ascending, raising"
72517,"al3sdayh1di","","","","","","","1. food  2. groceries"
72518,"al1sda32yv2hv.3sga","","ga.2li1sda32yv2hv.3sga","hal2sda1yv2hv1ga","ul2sdayh1di","ul1sda32yv2hnv23?i","al1sda32yv2hv.2sgo3?i","he's eating a meal"
72519,"al2sdehl23doh2di","","","","","","","aid, assistance (financial)"
72520,"al1sde2li.3ha","","ga.2li1sde2li.3ha","hal2sde23la","ul2sdehl2di","ul1sde2lv2hv23?i","al1sde2li23sgo.3?i","he's helping"
72521,"al1sdu23le.3?a","","ga.2li1sdu23le.3?a","hal2sdu2la.2gi","ul2sdu23le32sdi","ul1sdu23le32sv23?i","al1sdu23le32sgo3?i","he's taking off his cap"
72522,"al1sdu23le3ha","","ga.2li1sdu23le3ha","hal2sdu23la","ul2sduhl23di","ul1sdu23le3hv23?i","al1sdu23le3sgo3?i","he's washing his hair"
72523,"al1sdu23li.3?a","","ga.2li1sdu23li.3?a","hal2sdu2lv1ga","ul2sdu23lo32di","ul1sdu23la32nv23?i","al1sdu23li32sgo3?i","he's putting on a cap"
72524,"al2sdu2lo","dil2sdu2lo","","","","","","cap"
72525,"al1sdv2hlu.3sga","","ga.2li1sdv2hlu.3sga","hal2sdv2hlu1ga","ul2sdv2hlu.3sdi","ul1sdv2hlu.3nv3?i","al1sdv2hlu.3sgo.3?i","he's taking a seat"
72526,"al1sdv2hni.3ha","","ga.2li1sdv2hni.3ha","hal2sdvnh2ga","ul2sdvnh2di","ul1sdv2hni.2lv23?i","al1sdv2hni.3ho.3?i","he's shaking his head"
72527,"al1sgi3?a","","ga.2li1sgi3?a","hal2sgi","ul2sgi1sdi","ul1sgi3sv23?i","al1sgi3sgo3?i","he's dancing"
72528,"al1sgohl2da32ne.2ha","","ji2ya.2li1sgohl2da32ne.2ha","hi2ya.2li1sgohl2da1si","ul2sgohl2da1neh3di","ul1sgohl2da32ne2lv23?i","al1sgohl2da32ne2ho3?i","he's permitting him"
72529,"al1sgu32sga","","ga.2li1sgu32sga","hal2sgu1hya","ul2sgu1sdi","ul1sgu32hyv23?i","al1sgu32sgo3?i","he's nodding his head"
72530,"al1sgwa.2di.3?a","","-----","-----","ul2sgwa.2di1sdi","ul1sgwa.3dv23?i","al1sgwa.2di32sgo3?i","it's ending"
72531,"al1sgwa.2lu23di.3?a","","ga.2li1sgwa.2lu23di.3?a","hal2sgwa.2lu2dv1ga","ul2sgwa.2lu23do32di","ul1sgwa.2lu23da32nv23?i","al1sgwa.2lu23di32sgo3?i","he's sticking his head out"
72532,"al1sgwe3tuh2gi3?a","","ga.2li1sgwe3tuh2gi3?a","hal2sgwe1tuh2gi","ul2sgwe1tuh2gi1sdi","ul1sgwe3tuh2gi3sv23?i","al1sgwe3tuh2gi3sgo3?i","he's taking his hat off"
72533,"al1sgwe3tu.2hv.3ga","","ga.2li1sgwe3tu.3hv.3sga","hal2sgwe1tu.2hv1ga","ul2sgwe1tu.3sdi","ul1sgwe3tu.2hnv23?i","al1sgwe3tu.2hv.3sgo.3?i","he's putting his hat on"
72534,"al2sgwe1tu.2wo","dil2sgwe1tu.2wo","","","","","","hat"
72535,"al1so23sdi.3ha","","ga.2li1so23sdi.3ha","hal2so23sda","ul2so23sdoh3di","ul1so23sta.3nv23?i","al1so23sdi3sgo3?i","1. he's setting a goal 2.  he's aiming"
72536,"al1sv32sdi.3ha","","ga.2li1sv32sdi.3ha","hal2sv1sda","ul2sv1sdoh3di","ul1sv32sta.2nv23?i","al1sv32sdi2sgo3?i","he's smelling it  (sniff)"
72537,"a.2ma","","","","","","","water"
72538,"a3ma","","","","","","","salt"
72539,"a.2mahl3di4?i","","","","","","","water well"
72540,"a.2mahl3doh2di","","","","","","","waterbucket"
72541,"A.2ma.3ye3hli","","","","","","","United States"
72542,"a.2ma23yi","","","","","","","in water, into water"
72543,"a.2ma2yuhl4di","","","","","","","1. shore 2. bank"
72544,"a.2me3gwo4?i","","","","","","","ocean"
72545,"a1na.2da2go2na.2tdi23sgv4?i","","","","","","","contest"
72546,"a1na.2da3hli2si.3ha","","o1ja.2da3hli2si.3ha","i1ja.2da1hli23sa","u2na.2da1hli23soh3di","u1na.2da3hli2sa.2hnv23?i","a1na.2da3hli2si23sgo.3?i","they are gathering"
72547,"a1na32ga2li.3ha","","-----","-----","-----","u1na32ga.2lv2hv23?i","a1na32ga.2li23sgo.3?i","it's lightening"
72548,"a.2na1ga2li23sgi","","di2na1ga.2li23sgi","","","","","1. lightning  2. electricity  3. battery"
72549,"a.2na.2hli.2nv4dli","","","","","","","brothers, (more than two)"
72550,"a1na.2li3go2hv.3sga","","o1ja.2li3go2hv.3sga","i1ja.2li1go2hv1ga","u2na.2li1kdi","u1na.2li3go2hnv23?i","a1na.2li3go2hv.2sgo3?i","1. they are getting together  2. they are dating  (when the dual form is used)"
72551,"a1nehl23di","di1nehl23di","","","","","","doll"
72552,"a3nehl2di.3ha","","ga3nehl2di.3ha","ha1nehl2da","u1nehl23doh2di","u3nehl2ta.3nv3?i","a3nehl2di23sgo.3?i","he's attempting it"
72553,"a1ne23la.3di.2?a","","ga2ne23la.3di.2?a","ha2ne2la.2da","u2ne23la.3di1sdi","u1ne23la.3dv23?i","a1ne23la.3di1sgo3?i","he's getting married"
72554,"anh1da.2di.3?a","","ji2ya2nv1da.2di.3?a, ga2nv1da.2di.3?a","hi2ya2nv1da.2da, hanh2da2da","unh2da.2di1sdi","unh1da.3dv23?i","anh1da.2di32sgo3?i","he's remembering him, it"
72555,"a.?3ni","","","","","","","strawberry"
72556,"a1ni2do32na.2?a","","o1ji2do32na.2?a","-----","-----","a1ni2do32na.2?v23?i","a1ni2do32na.2?o3?i","they are standing (congregation)"
72557,"a1ni2hli.3na","","o1ji2hli.3na","-----","-----","-----","a1ni2hli.3no3?i","they are asleep  (two or more)"
72558,"a1ni?3na","","o1ji?3na","-----","-----","a1ni?3nv23?i","a1ni?3no3?i","they are sitting  (congregation)"
72559,"a.2ni2ne4li","","","","","","","her husband"
72560,"A.2ni2sgwa2ni4?i","","","","","","","Mexico"
72561,"a.2ni2yo.3sgi4?i","","","","","","","military service"
72562,"An1sgv2ti","","","","","","","May"
72563,"A.2nv2hyi","","","","","","","March"
72564,"a1sa.2dv32sga","","ji1sa.2dv32sga","hi.2sa.2dv.2?v1ga","u2sa.2dv1di","u1sa.2dv32nv23?i","a1sa.2dv32sgo3?i","he's setting a trap"
72565,"a1sa.2la.2di.3?a","","ji1sa.2la.2di.3?a","hi1sa.2la.2dv1ga, hi.2sa.2la.2dv1ga","u2sa.2la.2do1di","u1sa.2la.2da32nv23?i","a1sa.2la.2di32sgo3?i","he's lifting him, raising him, it"
72566,"a.2sa.2ma4di","a.2ni2sa.2ma4di","","","","","","smart"
72567,"a1sa.2no","di1sa.2no","","","","","","dress"
